# I've gone through and selected background regions by hand
# for all the following Obs_IDs.
OBS_ID     SRC_X SRC_Y SRC_RAD MOS_bg MOS_X MOS_Y MOS_RAD MOS_RAD1 PN_X PN_Y PN_RAD
0763880101 13675 22227 600 c 14400 28160 2900 -- -- -- --
0801010201 25797 23865 600 a 25797 23865 2000 5000 23700 26850 2000
0784050101 31829 15278 600 c 28360 16900 2500 -- 30910 18055 1700
0801010101 25350 23931 600 c 36670 28406 4500 -- 23450 28230 2000
0502360101 27424 27292 600 c 23755 25515 2300 -- 27140 24795 1300
# bright companion, PN small window bg gradient
0843150901 27018 27759 200 c 15100 25600 3500 -- 27100 25400 1600
#9178700004
0843150301 24080 24806 600 c 35801 21707 3500 -- 24750 27100 1400 
0117890901 34209 12082 600 c 31120 14850 1600 -- -- -- --
# bright companion
0843150501 -- -- -- a 24930 23970 1370 2750 23180 25900 1100
# bright companion 
0843150401 -- -- -- c 38250 30350 3500 -- 29270 22750 1600
0724690101 24650 27602 400 c 21159 25367 2500 -- 30710 25600 1800
#9133200002 
# companion ?
0843150701 24087 24855 150 c 21814 24505 1400 -- 23570 27060 1100
0116340601 24486 12218 600 c 21220 15700 2400 -- -- -- --
#9077700007
0843150101 23879 25341 600 a 23879 25341 1200 2550 24665 27800 1600
#9343900004
0843150201 24409 24478 600 a 24409 24478 1200 2500 23500 26600 1300
0134540801 22908 11131 600 c 18384 13741 2500 -- -- -- --
# There are strange holes where our source should be
0129350201 22919 19823 600 c 19657 14390 2500 --  20700 11020 900
# Holes?
0116710901 24471 12184 600 c 20100 15800 2500 -- -- -- --
#9116600004 
#9159500004
0670380601 27311 27398 699 c 30500 25150 2600 -- 26980 22445 1900
#9117800002
0791980201 25953 13530 600 c 21520 16190 3000 -- -- -- --
0201270101 16011 25686 600 c 16200 31390 2300 -- -- -- --
0044740601 27787 25236 600 c 32785 37740 2900 -- -- -- --
0116890901 26052 13550 600 c 20658 16073 2500 -- 26890 16380 1700
0670380501 27875 26854 600 c 23580 25460 3000 -- 25970 22840 2100
0134540601 22949 11034 600 c 12570 19180 3000 -- 22606 14106 1400
0502360201 27518 27159 600 c 16519 31019 3500 -- 26564 24746 1650
0134540401 22846 10909 600 c 15356 15617 3100 -- -- -- --
#9147300003
0134540101 25840 13544 600 c 16748 18314 2700 -- -- -- --
0801010301 24551 24429 600 c 34290 19197 3200 -- 24578 27014 1800
0791980501 25989 13469 600 c 35018 15182 2500 -- -- -- --
0843151001 27527 27296 600 a 27536 27101 1400 2800 27275 24578 1700
0843150801 26629 27874 600 c 27530 22838 3000 -- 27362 25535 1700

